condominio;quartos;suites;vagas;area;bairro;atualizacao;preco;distancia;pm2
400;1;1.0;1.0;45;2;3;550000;0.57;12222.22
550;1;1.0;1.0;48;2;18;630000;0.46;13125.0
512;1;0.0;1.0;28;2;28;399000;99.0;14250.0
472;1;1.0;1.0;55;2;2;570000;99.0;10363.64
660;1;1.0;1.0;50;2;12;629000;0.36;12580.0
650;1;0.0;1.0;48;2;1;520000;0.33;10833.33
450;1;1.0;1.0;48;2;24;480000;99.0;10000.0
705;1;1.0;1.0;65;2;0;590000;0.28;9076.92
560;1;1.0;1.0;39;2;0;450000;0.45;11538.46
350;1;1.0;1.0;40;2;0;390000;99.0;9750.0
490;1;0.0;1.0;48;2;0;430000;99.0;8958.33
520;1;0.0;1.0;56;2;6;635000;99.0;11339.29
380;1;1.0;1.0;32;2;5;420000;99.0;13125.0
600;1;1.0;1.0;60;2;10;480000;99.0;8000.0
400;1;1.0;1.0;45;2;9;630000;99.0;14000.0
700;2;1.0;1.0;78;2;0;730000;99.0;9358.97
700;2;1.0;1.0;80;2;10;898000;99.0;11225.0
1000;2;1.0;1.0;120;2;3;840000;0.41;7000.0
500;2;2.0;1.0;75;2;0;1680000;99.0;22400.0
800;2;1.0;1.0;78;2;3;790000;99.0;10128.21
1500;2;1.0;1.0;150;2;20;1300000;99.0;8666.67
821;2;1.0;1.0;75;2;0;1190000;0.36;15866.67
600;2;1.0;1.0;53;2;1;810000;0.3;15283.02
650;2;1.0;2.0;80;2;0;820000;0.68;10250.0
950;2;1.0;1.0;95;2;0;1280000;99.0;13473.68
1500;2;2.0;1.0;195;2;1;1300000;0.26;6666.67
700;2;1.0;1.0;80;2;3;710000;0.39;8875.0
650;2;1.0;1.0;82;2;25;950000;0.19;11585.37
945;2;2.0;1.0;71;2;3;950000;0.44;13380.28
650;2;1.0;2.0;80;2;0;900000;0.68;11250.0
525;2;2.0;1.0;79;2;2;760000;99.0;9620.25
740;2;1.0;1.0;75;2;2;776000;0.35;10346.67
693;2;1.0;1.0;65;2;0;580000;0.56;8923.08
600;2;1.0;1.0;68;2;16;679000;0.24;9985.29
550;2;1.0;1.0;47;2;7;550000;1.16;11702.13
850;2;1.0;1.0;79;2;2;1099000;0.45;13911.39
700;2;1.0;1.0;70;2;0;790000;0.7;11285.71
735;2;1.0;1.0;75;2;2;1150000;99.0;15333.33
1100;2;1.0;1.0;100;2;2;1582000;0.16;15820.0
1275;2;2.0;1.0;60;2;2;1200000;0.71;20000.0
1000;2;1.0;2.0;85;2;0;1600000;0.43;18823.53
2200;2;2.0;1.0;209;2;19;1500000;99.0;7177.03
760;2;1.0;1.0;90;2;0;840000;99.0;9333.33
900;2;1.0;1.0;75;2;4;700000;99.0;9333.33
1800;2;1.0;1.0;194;2;8;2000000;0.47;10309.28
1000;2;1.0;1.0;80;2;3;1000000;0.55;12500.0
605;2;1.0;1.0;65;2;0;735000;99.0;11307.69
820;2;1.0;1.0;83;2;3;990000;0.47;11927.71
2000;2;2.0;1.0;72;2;2;740000;0.51;10277.78
440;2;1.0;1.0;85;2;2;725000;99.0;8529.41
600;2;1.0;1.0;80;2;5;750000;99.0;9375.0
1600;3;1.0;1.0;220;2;2;2190000;0.52;9954.55
1300;3;1.0;1.0;168;2;2;1250000;0.29;7440.48
924;3;1.0;1.0;120;2;0;1030000;99.0;8583.33
1200;3;1.0;1.0;200;2;2;1650000;0.15;8250.0
680;3;1.0;1.0;125;2;1;1050000;0.19;8400.0
800;3;1.0;1.0;120;2;5;1100000;0.59;9166.67
2200;3;1.0;1.0;280;2;0;2800000;0.47;10000.0
930;3;1.0;1.0;110;2;6;1200000;0.17;10909.09
1980;3;2.0;1.0;210;2;1;1680000;0.49;8000.0
1290;3;1.0;1.0;155;2;2;2600000;0.07;16774.19
500;3;1.0;1.0;190;2;0;1240000;99.0;6526.32
1598;3;1.0;1.0;170;2;3;2350000;0.55;13823.53
1939;3;1.0;1.0;230;2;0;3990000;0.24;17347.83
1200;3;1.0;1.0;240;2;1;2200000;0.31;9166.67
2600;3;2.0;2.0;200;2;1;2390000;0.65;11950.0
1309;3;1.0;1.0;102;2;3;1000000;0.34;9803.92
1025;3;1.0;1.0;98;2;1;1099999;99.0;11224.48
1700;3;1.0;2.0;280;2;2;3400000;0.25;12142.86
3600;3;1.0;2.0;300;2;0;5280000;0.05;17600.0
1500;3;1.0;1.0;340;2;0;3850000;0.3;11323.53
860;3;1.0;1.0;100;2;0;1050000;0.59;10500.0
3200;3;1.0;1.0;280;2;0;2000000;99.0;7142.86
1600;3;1.0;1.0;280;2;25;4200000;0.14;15000.0
1290;3;1.0;1.0;150;2;2;1550000;0.5;10333.33
1300;3;2.0;1.0;100;2;0;1080000;0.52;10800.0
1018;3;1.0;1.0;108;2;1;980000;99.0;9074.07
1200;3;1.0;1.0;107;2;0;950000;0.63;8878.5
900;3;1.0;1.0;110;2;1;1100000;0.49;10000.0
800;3;1.0;1.0;92;2;0;900000;0.52;9782.61
404;3;1.0;1.0;114;2;1;1200000;99.0;10526.32
1084;3;1.0;1.0;100;2;0;1150000;0.68;11500.0
1640;3;1.0;1.0;195;2;3;1600000;0.05;8205.13
1500;3;1.0;1.0;152;2;3;1349000;0.38;8875.0
760;3;1.0;1.0;150;2;0;1600000;0.48;10666.67
980;3;0.0;1.0;85;2;0;980000;0.33;11529.41
1230;3;1.0;1.0;95;2;0;1290000;0.6;13578.95
800;3;1.0;1.0;75;2;0;950000;0.5;12666.67
2950;3;2.0;2.0;160;2;0;3000000;0.5;18750.0
800;3;1.0;1.0;110;2;3;650000;0.54;5909.09
2400;3;1.0;1.0;188;2;0;3900000;0.14;20744.68
798;3;1.0;1.0;110;2;0;950000;0.24;8636.36
805;3;1.0;2.0;83;2;0;750000;0.62;9036.14
1000;3;1.0;4.0;175;2;0;1890000;0.63;10800.0
1420;3;1.0;1.0;120;2;0;1900000;99.0;15833.33
2000;3;2.0;1.0;220;2;0;2500000;0.32;11363.64
400;1;0.0;0.0;40;3;2;750000;99.0;18750.0
350;1;0.0;1.0;37;3;0;590000;99.0;15945.95
775;1;1.0;1.0;50;3;1;1080000;99.0;21600.0
290;1;1.0;1.0;36;3;19;840000;99.0;23333.33
750;1;1.0;1.0;35;3;1;470000;99.0;13428.57
700;1;1.0;1.0;58;3;0;950000;99.0;16379.31
785;1;1.0;1.0;50;3;23;950000;99.0;19000.0
646;1;0.0;1.0;61;3;0;950000;99.0;15573.77
550;1;0.0;1.0;54;3;0;700000;99.0;12962.96
800;1;0.0;1.0;56;3;0;850000;99.0;15178.57
700;1;1.0;1.0;55;3;0;620000;99.0;11272.73
400;1;1.0;1.0;37;3;1;480000;99.0;12972.97
500;1;1.0;1.0;40;3;0;620000;99.0;15500.0
530;1;0.0;1.0;60;3;3;950000;99.0;15833.33
400;1;0.0;1.0;40;3;2;750000;99.0;18750.0
500;1;0.0;1.0;45;3;1;600000;99.0;13333.33
600;1;1.0;1.0;38;3;1;650000;99.0;17105.26
700;1;0.0;1.0;58;3;2;850000;99.0;14655.17
900;1;1.0;1.0;65;3;17;880000;99.0;13538.46
950;2;1.0;1.0;110;3;17;1700000;99.0;15454.55
1184;2;2.0;2.0;142;3;20;1950000;99.0;13732.39
1200;2;1.0;1.0;74;3;3;1830000;99.0;24729.73
800;2;1.0;1.0;58;3;0;1365000;99.0;23534.48
937;2;1.0;1.0;80;3;0;1400000;99.0;17500.0
815;2;1.0;1.0;95;3;0;1800000;99.0;18947.37
814;2;1.0;1.0;82;3;1;1260000;99.0;15365.85
260;2;1.0;1.0;60;3;1;750000;99.0;12500.0
980;2;1.0;1.0;95;3;1;1590000;99.0;16736.84
2500;2;2.0;2.0;160;3;2;2450000;99.0;15312.5
1500;2;1.0;1.0;85;3;1;1250000;99.0;14705.88
1250;2;1.0;1.0;90;3;6;1789000;99.0;19877.78
1250;2;2.0;1.0;110;3;3;1300000;99.0;11818.18
1200;2;1.0;1.0;75;3;7;1590000;99.0;21200.0
950;2;1.0;1.0;78;3;3;1250000;99.0;16025.64
987;2;1.0;1.0;78;3;2;1250000;99.0;16025.64
987;2;1.0;1.0;80;3;3;1388000;99.0;17350.0
900;2;1.0;1.0;60;3;1;1250000;99.0;20833.33
1200;2;1.0;1.0;120;3;7;2000000;99.0;16666.67
977;2;1.0;1.0;88;3;3;1585000;99.0;18011.36
500;2;1.0;1.0;75;3;0;980000;99.0;13066.67
880;2;1.0;1.0;80;3;1;1650000;99.0;20625.0
850;2;1.0;1.0;97;3;1;1000000;99.0;10309.28
750;2;1.0;1.0;70;3;0;1280000;99.0;18285.71
1140;2;1.0;1.0;85;3;2;1350000;99.0;15882.35
550;2;1.0;1.0;72;3;0;970000;99.0;13472.22
800;2;1.0;1.0;89;3;2;980000;99.0;11011.24
500;2;1.0;1.0;60;3;1;800000;99.0;13333.33
900;2;1.0;1.0;75;3;9;980000;99.0;13066.67
1000;3;1.0;2.0;110;3;0;2250000;99.0;20454.55
1500;3;1.0;2.0;115;3;0;2500000;99.0;21739.13
1300;3;1.0;1.0;103;3;1;1500000;99.0;14563.11
1600;3;1.0;1.0;130;3;9;1750000;99.0;13461.54
1400;3;1.0;1.0;92;3;0;1650000;99.0;17934.78
1450;3;1.0;2.0;139;3;1;2200000;99.0;15827.34
1456;3;1.0;2.0;110;3;2;3000000;99.0;27272.73
1600;3;1.0;1.0;125;3;0;1760000;99.0;14080.0
1600;3;1.0;1.0;125;3;0;1850000;99.0;14800.0
1250;3;1.0;1.0;102;3;0;1890000;99.0;18529.41
1600;3;1.0;1.0;120;3;1;1800000;99.0;15000.0
1450;3;1.0;2.0;140;3;0;2200000;99.0;15714.29
950;3;1.0;1.0;120;3;5;2100000;99.0;17500.0
1115;3;1.0;2.0;103;3;1;2205000;99.0;21407.77
1200;3;1.0;2.0;123;3;0;2625000;99.0;21341.46
1250;3;1.0;2.0;113;3;2;1990000;99.0;17610.62
680;3;1.0;2.0;110;3;0;2200000;99.0;20000.0
